AS2_scf7180000695491;1;73028;X;1
AS2_scf7180000695557;1;1255381;X;-1
AS2_scf7180000695865;1;2684564;X;-1
AS2_scf7180000695541;1;841721;X;1
AS2_scf7180000696079;1;2239752;X;1
AS2_scf7180000695680;1;1772387;X;1
AS2_scf7180000696050;1;2422445;X;-1
AS2_scf7180000695709;1;1472510;X;1
AS2_scf7180000695705;1;3132144;2R;1
AS2_scf7180000695681;1;3622691;2R;1
AS2_scf7180000696027;1;1402797;2R;-1
AS2_scf7180000696017;1;401984;2R;-1
AS2_scf7180000696051;1;1646812;2R;1
AS2_scf7180000696133;1;2071771;2R;1
AS2_scf7180000696054;1;2075225;2R;-1
AS2_scf7180000696041;1;1460364;2R;-1
AS2_scf7180000695763;1;1569060;2R;-1
AS2_scf7180000696013;1;1443628;2R;1
AS2_scf7180000695690;1;1623961;2R;1
AS2_scf7180000696012;1;1036301;2R;-1
AS2_scf7180000696047;1;1804022;2L;1
AS2_scf7180000696045;1;1433044;2L;-1
AS2_scf7180000696048;1;1655828;2L;-1
AS2_scf7180000696056;1;2410210;2L;-1
AS2_scf7180000695983;1;1798621;2L;1
AS2_scf7180000696058;1;2460545;2L;-1
AS2_scf7180000696057;1;3056258;2L;-1
AS2_scf7180000696060;1;4138565;2L;-1
AS2_scf7180000695970;1;1982586;3R;1
AS2_scf7180000695742;1;1869526;3R;1
AS2_scf7180000695544;1;1280009;3R;-1
AS2_scf7180000696022;1;621276;3R;1
AS2_scf7180000694399;1;146261;3R;1
AS2_scf7180000695645;1;17918;3R;1
AS2_scf7180000695987;1;525874;3R;1
AS2_scf7180000696078;1;2299;3R;-1
AS2_scf7180000691904;1;138869;3R;-1
AS2_scf7180000695864;1;170159;3R;1
AS2_scf7180000696020;1;71071;3R;1
AS2_scf7180000696131;1;2359367;3R;1
AS2_scf7180000695941;1;816509;3R;-1
AS2_scf7180000696018;1;515011;3L;-1
AS2_scf7180000696001;1;777379;3L;1
AS2_scf7180000695556;1;1591401;3L;1
AS2_scf7180000696053;1;1670191;3L;1
AS2_scf7180000695549;1;814231;3L;-1
AS2_scf7180000696039;1;3601930;3L;1
AS2_scf7180000695747;1;566275;3L;1
AS2_scf7180000696026;1;1091046;3L;1
AS2_scf7180000696059;1;2208365;3L;1
AS2_scf7180000696055;1;4999999;3L;-1
AS2_scf7180000696055;4999999;5918260;3L;-1
